Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
48.75838,-64.3527,35.2,19.507,5
48.758105,-64.351975,36.8,19.568,5
48.75783,-64.35125,40.3,19.63,4
48.75765,-64.35074,42.9,19.672,6
48.75753,-64.35042,44.5,19.699,6
48.75745,-64.35022,45,19.716,6
48.75734,-64.34994,44.6,19.74,4
48.75708,-64.349335,42.6,19.793,0
48.75682,-64.34873,37.2,19.846,-7
48.75634,-64.34764,30.8,19.942,-8
48.75618,-64.34728,32.3,19.974,-4
48.75605,-64.347,33.1,19.999,-3
48.75589,-64.34667,35.1,20.029,-1
48.75566,-64.34621,36.5,20.072,4
48.75518,-64.34534,40,20.155,4
48.754765,-64.3446,40.1,20.226,2
48.75435,-64.34386,39.4,20.298,0
48.75394,-64.343135,32.9,20.368,-5
48.75353,-64.34241,27.5,20.438,-8
48.75313,-64.341695,25.4,20.507,-5
48.75273,-64.34098,24.1,20.576,-2
48.75228,-64.34017,23,20.653,-2
48.75206,-64.33974,22.7,20.693,-1
48.75175,-64.33903,21,20.756,-2
48.751375,-64.33813,15.8,20.834,-5
48.751,-64.33723,15,20.912,-4
48.750625,-64.33633,18,20.99,1
48.75025,-64.33543,19,21.068,3
48.75014,-64.33518,19,21.09,1
48.75008,-64.33507,18.8,21.101,1
48.74999,-64.33488,18.4,21.118,0
48.74988,-64.33469,18.6,21.137,0
48.74983,-64.33462,18.3,21.144,0
48.7497,-64.33442,16.7,21.165,-1
48.74954,-64.33424,15.7,21.187,-3
48.74945,-64.33414,15.1,21.199,-4
48.74932,-64.334,14,21.217,-4
48.74923,-64.33391,13.2,21.229,-5
48.74911,-64.33382,12.7,21.244,-6
48.7489,-64.33366,10.7,21.27,-6
48.74882,-64.33361,10.4,21.28,-5
48.74842,-64.3334,9.2,21.327,-4
48.74816,-64.33327,8.5,21.357,-4
48.7478,-64.3331,8.2,21.399,-2
48.74725,-64.33286,8,21.463,0
48.74672,-64.33264,7.8,21.524,0
48.74619,-64.33242,7.5,21.585,0
48.7455,-64.33214,6,21.665,-1
48.74535,-64.33207,5.2,21.682,-2
48.74512,-64.33197,4.9,21.709,-2
48.74499,-64.3319,4.1,21.724,-2
48.74489,-64.33184,4,21.736,-2
48.74467,-64.3317,3.1,21.763,-2
48.74451,-64.33157,2.4,21.783,-3
48.74436,-64.33143,2,21.803,-3
48.7442,-64.33125,1.5,21.825,-3
48.74403,-64.33103,1,21.85,-3
48.74387,-64.3308,1,21.874,-2
48.7437,-64.33051,0.2,21.903,-2
48.74352,-64.33023,0,21.931,-1
48.74338,-64.32998,0,21.956,-1
48.74304,-64.32936,0,22.015,0
48.74274,-64.32886,0,22.064,0
48.74241,-64.32838,0.9,22.115,1
48.74233,-64.32828,1,22.127,1
48.7422,-64.32813,1.1,22.145,1
48.7421,-64.32803,1.6,22.158,1
48.74181,-64.32779,2.4,22.195,2
48.74167,-64.3277,3.2,22.212,2
48.74147,-64.3276,3.6,22.235,2
48.74115,-64.32745,4.1,22.273,2
48.74061,-64.327275,6.9,22.334,3
48.74007,-64.3271,9,22.396,4
48.73985,-64.32705,10,22.42,4
48.73968,-64.32698,11.4,22.44,4
48.7395,-64.3269,13,22.461,5
48.73932,-64.32681,14.6,22.482,5
48.73913,-64.32667,15,22.506,5
48.73907,-64.32663,15.6,22.513,6
48.739,-64.32658,16.1,22.521,6
48.73886,-64.32644,16.8,22.54,5
48.73877,-64.32636,17.3,22.552,5
48.73867,-64.32623,17.1,22.566,4
48.73856,-64.32607,17.6,22.583,3
48.73836,-64.32578,18.9,22.614,3
48.73807,-64.32534,20.3,22.66,3
48.73764,-64.32468,20.8,22.728,2
48.73713,-64.32387,24.3,22.81,3
48.736697,-64.323177,25,22.88,3
48.736263,-64.322483,21.3,22.95,-2
48.73583,-64.32179,22.6,23.021,-2
48.73557,-64.32132,23,23.066,1
48.73539,-64.32093,23.2,23.101,1
48.73524,-64.3205,20.7,23.136,-2
48.73502,-64.31957,22.9,23.209,0
48.73484,-64.31885,21.3,23.265,0
48.73464,-64.31801,20,23.331,-2
48.73444,-64.31717,23.6,23.397,2
48.7342,-64.31615,27,23.476,5
48.73398,-64.31536,32.1,23.539,6
48.73376,-64.31457,33.2,23.602,5
48.73367,-64.31424,33.6,23.628,4
48.73363,-64.3141,33.9,23.639,2
48.73343,-64.31337,37.4,23.697,3
48.733105,-64.312245,43.2,23.788,6
48.73278,-64.31112,41.9,23.878,2
48.732455,-64.309995,48.8,23.968,3
48.73213,-64.30887,43.7,24.058,1
48.731945,-64.308245,50.7,24.108,1
48.73176,-64.30762,52.6,24.159,9
48.73166,-64.30729,51.8,24.185,6
48.73157,-64.30703,52.1,24.207,6
48.73145,-64.30673,57.1,24.233,5
48.73139,-64.30659,59.2,24.245,6
48.73133,-64.30647,60.9,24.256,7
48.73122,-64.30627,63.9,24.275,10
48.73112,-64.30611,64.4,24.291,12
48.73101,-64.30594,65.3,24.309,13
48.73045,-64.30522,63.6,24.391,0
48.73027,-64.30499,63,24.417,-2
48.73006,-64.30472,63.8,24.447,-1
48.72958,-64.304095,66.6,24.518,4
48.7291,-64.30347,70.5,24.588,5
48.72891,-64.30321,69.2,24.617,3
48.72874,-64.30302,68.2,24.64,1
48.72862,-64.30289,67.6,24.657,1
48.72855,-64.30283,67.7,24.666,1
48.72847,-64.30276,67.8,24.676,1
48.72829,-64.30265,68,24.698,-2
48.72804,-64.30251,67.4,24.727,-2
48.72732,-64.30213,64.2,24.812,-3
48.7266,-64.30175,61.2,24.897,-4
48.72634,-64.30162,60.4,24.927,-3
48.72607,-64.30148,57.8,24.959,-4
48.72595,-64.30141,55.7,24.973,-5
48.72588,-64.30136,54.6,24.982,-6
48.72581,-64.30131,53.8,24.991,-6
48.72574,-64.30125,53,25,-8
48.72564,-64.30115,51.7,25.013,-8
48.72556,-64.30106,50.9,25.024,-8
48.72547,-64.30095,49.3,25.037,-10
48.72528,-64.3007,47,25.065,-10
48.72488,-64.30014,43,25.126,-8
48.724223,-64.299227,34.5,25.225,-8
48.723567,-64.298313,25.6,25.324,-9
48.72291,-64.2974,17,25.423,-9
48.72235,-64.296636,13.5,25.507,-7
48.72179,-64.295872,10,25.591,-4
48.72123,-64.295108,9.9,25.675,-2
48.72067,-64.294344,15.6,25.759,3
48.72011,-64.29358,21,25.843,7
48.71989,-64.29328,23.1,25.875,6
48.71967,-64.29295,24.7,25.91,6
48.71935,-64.29245,28.4,25.961,6
48.718875,-64.29168,35.7,26.039,9
48.7184,-64.29091,42.6,26.116,9
48.71772,-64.291655,45.7,26.209,6
48.71704,-64.2924,50.7,26.303,4
48.71646,-64.29294,57.1,26.379,7
48.71611,-64.29323,60,26.423,8
48.71585,-64.29336,61,26.453,7
48.71571,-64.29343,61.8,26.47,7
48.7151,-64.29362,66,26.539,5
48.71449,-64.29381,69.3,26.608,5
48.713663,-64.293997,70.4,26.702,3
48.712837,-64.294183,67.7,26.795,-1
48.71201,-64.29437,67.9,26.888,-1
48.711515,-64.29446,68.4,26.943,0
48.71102,-64.29455,67.9,26.999,0
48.71034,-64.29479,69,27.076,0
48.70975,-64.29509,68,27.146,0
48.70916,-64.29539,66,27.215,-2
48.70849,-64.29577,63.5,27.295,-3
48.7083,-64.29582,63,27.316,-3
48.70756,-64.29588,62,27.398,-1
48.707105,-64.29582,61,27.449,-1
48.70665,-64.29576,59.8,27.5,-2
48.70619,-64.29564,56.1,27.552,-5
48.70573,-64.29537,60.2,27.607,0
48.70534,-64.29497,66.4,27.659,10
48.705,-64.29467,70.2,27.703,9
48.70447,-64.294385,75.9,27.766,9
48.70394,-64.2941,82,27.828,9
48.703118,-64.293654,79.2,27.926,2
48.702296,-64.293209,72,28.023,-5
